t,x,y,yaw,roll,pitch,state,target_id
1789540288.3139029,12.01383456768565,0.6171481120673548,-1.2962424842889255,4.627481678523882e-10,-4.3271083583831833e-07,NAVIGATING,door_blue_df7a1e
1789540288.663452,12.019529619360716,0.5776601585653467,-1.22628331233443,4.0612283784870555e-10,-7.838193710180812e-08,NAVIGATING,door_blue_df7a1e
1789540289.0137382,12.032091875711824,0.53035468550825,-1.1520136335141986,3.4479938402657627e-10,-9.23184623144487e-09,NAVIGATING,door_blue_df7a1e
1789540289.364274,12.045479176993279,0.49404579620788674,-1.0984724558675838,2.692309779152117e-10,-7.005792273036446e-10,NAVIGATING,door_blue_df7a1e
1789540289.715681,12.062196174946408,0.4577099673679254,-1.0513319561446566,2.1729197873742787e-10,8.632774918657325e-10,NAVIGATING,door_blue_df7a1e
1789540290.0649574,12.08485738598422,0.41616512155425506,-1.0012302372381137,1.822030646798004e-10,9.3506582362883e-10,NAVIGATING,door_blue_df7a1e
1789540290.414683,12.105557378727493,0.38298833598706583,-0.9633102031039037,1.627379293592771e-10,9.15697064058141e-10,NAVIGATING,door_blue_df7a1e
1789540290.7639556,12.13083765392983,0.3467196045652647,-0.9218484992965331,1.3615774693943456e-10,5.019508289033886e-10,NAVIGATING,door_blue_df7a1e
1789540291.113724,12.157293250895775,0.3123659392957025,-0.883122731771195,-9.045225391178808e-11,-3.0926850887043055e-06,NAVIGATING,door_blue_df7a1e
1789540291.464112,12.177430382357262,0.2884621141161502,-0.8527577396798388,5.823533002415184e-11,-4.824534462955478e-07,NAVIGATING,door_blue_df7a1e
1789540291.813904,12.198624311036102,0.26459345021873165,-0.8224158173677325,-4.744401746306552e-10,-5.559730295881014e-06,NAVIGATING,door_blue_df7a1e
1789540292.1638436,12.21230152272368,0.24966074416056155,-0.7897727261595162,-6.727091795506179e-10,-1.78762111814056e-06,NAVIGATING,door_blue_df7a1e
1789540292.5137448,12.213766629173074,0.2479588523567484,-0.756579464376979,-1.8315236393526462e-10,-5.084775655924052e-07,NAVIGATING,door_blue_df7a1e
1789540292.863775,12.213382540962694,0.24795874903033197,-0.7184182166703544,-1.2061874693737889e-11,-6.45665259152435e-08,NAVIGATING,door_blue_df7a1e
1789540293.2153692,12.213366729385523,0.2478308698923365,-0.6822838182512594,-1.5296253567082577e-11,-7.675498282170611e-09,NAVIGATING,door_blue_df7a1e
1789540293.5647237,12.2133667192102,0.24750604763112102,-0.65789274873795,-1.57281433868161e-11,-1.3306048183898223e-09,NAVIGATING,door_blue_df7a1e
1789540293.914159,12.213366701479917,0.24662073738273316,-0.619790161393704,-1.8026263692178516e-11,6.790338646855095e-10,NAVIGATING,door_blue_df7a1e
1789540294.2637715,12.213366682294774,0.24520470695342533,-0.5793235263247866,-2.323628161139528e-11,9.339775758266706e-10,NAVIGATING,door_blue_df7a1e
1789540294.6142726,12.213366665596887,0.24356693906369825,-0.5434727281155071,-2.7502204053023868e-11,9.297957571601577e-10,NAVIGATING,door_blue_df7a1e
1789540294.9645352,12.21336664824076,0.2414587443966042,-0.5053941098679307,-3.1432014743194665e-11,9.182307169988828e-10,NAVIGATING,door_blue_df7a1e
1789540295.3138554,12.213366630125597,0.23881369228612823,-0.46469435595563763,-3.604827781453103e-11,9.225005201028997e-10,NAVIGATING,door_blue_df7a1e
